8=FIX4.4, 35=D, 34=52, 49=M3, 56=MS, 52=2024-08-06-12:00:47, 55=AAPL, 40=2, 38=25942, 21=2, 11=algo20240806120047, 60=2024-08-06-12:00:47, 54=1, 44=1276.37, 10=0252,
8=FIX4.4, 35=D, 34=72, 49=M3, 56=MS, 52=2024-08-06-12:01:18, 55=TSLA, 40=2, 38=2892, 21=2, 11=algo20240806120118, 60=2024-08-06-12:01:18, 54=2, 44=503.77, 10=0252,
8=FIX4.4, 35=D, 34=74, 49=M3, 56=MS, 52=2024-08-06-12:01:22, 55=TXN, 40=2, 38=1975, 21=2, 11=algo20240806120122, 60=2024-08-06-12:01:22, 54=1, 44=112.46, 10=0252,
8=FIX4.4, 35=D, 34=75, 49=M3, 56=MS, 52=2024-08-06-12:01:23, 55=AVGO, 40=2, 38=1080, 21=2, 11=algo20240806120123, 60=2024-08-06-12:01:23, 54=1, 44=262.99, 10=0252,
8=FIX4.4, 35=D, 34=77, 49=M3, 56=MS, 52=2024-08-06-12:01:25, 55=GILD, 40=2, 38=24939, 21=2, 11=algo20240806120125, 60=2024-08-06-12:01:25, 54=1, 44=82.91, 10=0252,
8=FIX4.4, 35=D, 34=79, 49=M3, 56=MS, 52=2024-08-06-12:01:27, 55=SBUX, 40=2, 38=16803, 21=2, 11=algo20240806120127, 60=2024-08-06-12:01:27, 54=2, 44=75.71, 10=0252,
8=FIX4.4, 35=D, 34=81, 49=M3, 56=MS, 52=2024-08-06-12:01:31, 55=QCOM, 40=2, 38=30683, 21=2, 11=algo20240806120131, 60=2024-08-06-12:01:31, 54=2, 44=75.47, 10=0252,
8=FIX4.4, 35=D, 34=83, 49=M3, 56=MS, 52=2024-08-06-12:01:33, 55=TMUS, 40=2, 38=9097, 21=2, 11=algo20240806120133, 60=2024-08-06-12:01:33, 54=1, 44=90.74, 10=0252,
8=FIX4.4, 35=D, 34=85, 49=M3, 56=MS, 52=2024-08-06-12:01:35, 55=MDLZ, 40=2, 38=32711, 21=2, 11=algo20240806120135, 60=2024-08-06-12:01:35, 54=1, 44=52.26, 10=0252,
8=FIX4.4, 35=D, 34=87, 49=M3, 56=MS, 52=2024-08-06-12:01:37, 55=BAC, 40=2, 38=1461, 21=2, 11=algo20240806120137, 60=2024-08-06-12:01:37, 54=1, 44=22.03, 10=0252,
8=FIX4.4, 35=D, 34=88, 49=M3, 56=MS, 52=2024-08-06-12:01:39, 55=DDD, 40=2, 38=24119, 21=2, 11=algo20240806120139, 60=2024-08-06-12:01:39, 54=2, 44=8.01, 10=0252,
8=FIX4.4, 35=D, 34=90, 49=M3, 56=MS, 52=2024-08-06-12:01:41, 55=MMM, 40=2, 38=11243, 21=2, 11=algo20240806120141, 60=2024-08-06-12:01:41, 54=2, 44=146.98, 10=0252,
8=FIX4.4, 35=D, 34=91, 49=M3, 56=MS, 52=2024-08-06-12:01:42, 55=WBAI, 40=2, 38=20820, 21=2, 11=algo20240806120142, 60=2024-08-06-12:01:42, 54=2, 44=4.10, 10=0252,
8=FIX4.4, 35=D, 34=92, 49=M3, 56=MS, 52=2024-08-06-12:01:44, 55=WUBA, 40=2, 38=27143, 21=2, 11=algo20240806120144, 60=2024-08-06-12:01:44, 54=1, 44=51.41, 10=0252,
8=FIX4.4, 35=D, 34=93, 49=M3, 56=MS, 52=2024-08-06-12:01:45, 55=EGHT, 40=2, 38=29488, 21=2, 11=algo20240806120145, 60=2024-08-06-12:01:45, 54=1, 44=17.03, 10=0252,
8=FIX4.4, 35=D, 34=95, 49=M3, 56=MS, 52=2024-08-06-12:01:48, 55=AHC, 40=2, 38=8262, 21=2, 11=algo20240806120148, 60=2024-08-06-12:01:48, 54=2, 44=1.40, 10=0252,
8=FIX4.4, 35=D, 34=96, 49=M3, 56=MS, 52=2024-08-06-12:01:51, 55=AOS, 40=2, 38=30604, 21=2, 11=algo20240806120151, 60=2024-08-06-12:01:51, 54=2, 44=40.38, 10=0252,
8=FIX4.4, 35=D, 34=97, 49=M3, 56=MS, 52=2024-08-06-12:01:54, 55=ATEN, 40=2, 38=28225, 21=2, 11=algo20240806120154, 60=2024-08-06-12:01:54, 54=1, 44=6.45, 10=0252,
8=FIX4.4, 35=D, 34=98, 49=M3, 56=MS, 52=2024-08-06-12:01:56, 55=AIR, 40=2, 38=32157, 21=2, 11=algo20240806120156, 60=2024-08-06-12:01:56, 54=1, 44=16.31, 10=0252,
8=FIX4.4, 35=D, 34=100, 49=M3, 56=MS, 52=2024-08-06-12:01:59, 55=AAN, 40=2, 38=10165, 21=2, 11=algo20240806120159, 60=2024-08-06-12:01:59, 54=1, 44=25.68, 10=0252,
8=FIX4.4, 35=D, 34=101, 49=M3, 56=MS, 52=2024-08-06-12:02:00, 55=ABB, 40=2, 38=31031, 21=2, 11=algo20240806120200, 60=2024-08-06-12:02:00, 54=2, 44=17.42, 10=0252,
8=FIX4.4, 35=D, 34=102, 49=M3, 56=MS, 52=2024-08-06-12:02:01, 55=ABT, 40=2, 38=3211, 21=2, 11=algo20240806120201, 60=2024-08-06-12:02:01, 54=2, 44=94.04, 10=0252,
8=FIX4.4, 35=D, 34=103, 49=M3, 56=MS, 52=2024-08-06-12:02:03, 55=ABBV, 40=2, 38=16707, 21=2, 11=algo20240806120203, 60=2024-08-06-12:02:03, 54=2, 44=83.60, 10=0252,
8=FIX4.4, 35=D, 34=105, 49=M3, 56=MS, 52=2024-08-06-12:02:05, 55=ANF, 40=2, 38=21209, 21=2, 11=algo20240806120205, 60=2024-08-06-12:02:05, 54=2, 44=9.10, 10=0252,
8=FIX4.4, 35=D, 34=106, 49=M3, 56=MS, 52=2024-08-06-12:02:09, 55=ABM, 40=2, 38=6208, 21=2, 11=algo20240806120209, 60=2024-08-06-12:02:09, 54=1, 44=31.64, 10=0252,
8=FIX4.4, 35=D, 34=107, 49=M3, 56=MS, 52=2024-08-06-12:02:10, 55=AAPL, 40=2, 38=17846, 21=2, 11=algo20240806120210, 60=2024-08-06-12:02:10, 54=2, 44=284.65, 10=0252,
8=FIX4.4, 35=D, 34=108, 49=M3, 56=MS, 52=2024-08-06-12:02:11, 55=PEP, 40=2, 38=6493, 21=2, 11=algo20240806120211, 60=2024-08-06-12:02:11, 54=2, 44=45.43, 10=0252,
8=FIX4.4, 35=D, 34=109, 49=M3, 56=MS, 52=2024-08-06-12:02:13, 55=, 40=2, 38=9066, 21=2, 11=algo20240806120213, 60=2024-08-06-12:02:13, 54=2, 44=, 10=0252,
